Regningens navn,årligt beløb på regning,regningens beløb pr gang,hvor ofte der betales i tal  (månedlig = 12 kvartalt = 4 etc),første betalingsmåned i tal
Tryg Indboforsikring,1093,1093,1,9
IkkeTelenor,1188,99,12,1
Fitness World,2388,199,12,1
DR Licens,2478,1239,2,5
Stofa A/S Internet,2508,627,4,1
Eniig Energi A/S,2680,670,4,2
Plus Bolig,51000,4250,12,1
Nørresundby Boligselskab,40800,3400,12,1
Fullrate,3120,260,12,1
Fitness World A/S,4440,370,12,1
DR Licens,2544,212,12,1
Danmarks naturfredningsforening,100,50,2,5
Call Me A/S,4200,350,12,1